brand,name,price,link
Ulefone ,"S10 Pro - 5.7"" - 16GB - 2GB, 4G LTE (Dual SIM), Auroreous","7,999",https://www.jumia.co.ke/ulefone-s10-pro-5.7-16gb-2gb-4g-lte-dual-sim-auroreous-17302038.html
TECNO ,"Spark 3 Pro, 6.2"", 32GB + 2GB (Dual SIM),Android 9 pie - Black","12,200",https://www.jumia.co.ke/spark-3-pro-6.2-32gb-2gb-dual-simandroid-9-pie-black-tecno-mpg163024.html
Oukitel ,"C11 Pro - 3GB+16GB - Dual Back Cameras, Fingerprint -  5.45 inch Screen - Android 8.1 Oreo - Network: 4G/LTE - Black","6,799",https://www.jumia.co.ke/c11-pro-3gb16gb-dual-back-cameras-fingerprint-5.45-inch-screen-android-8.1-oreo-network-4glte-black-oukitel-mpg135112.html
Oukitel ,"C10 - 5.0"" - 8GB + 1GB RAM (Dual SIM) - Black","4,199",https://www.jumia.co.ke/oukitel-c10-5.0-8gb-1gb-ram-dual-sim-black-14814091.html
TECNO ,"F1, 5.0"", 8GB +1GB (Dual SIM), Champagne Gold","6,090",https://www.jumia.co.ke/f1-8gb1gb-ram-5.0-display-2000mah-battery-dual-sim-champagne-gold-tecno-mpg115748.html
,,,
Xiaomi ,"Redmi S2, 5.99'', 64GB+ 4GB (Dual SIM) 4G, Grey","16,550",https://www.jumia.co.ke/redmi-s2-5.99-64gb-4gb-ram16-mp-front-125-mp-ai-dual-back-cameras-4g-grey-xiaomi-mpg123355.html
TECNO ,T349 - Dual SIM - Black,"1,250",https://www.jumia.co.ke/tecno-t349-dual-sim-black-14509115.html
Huawei ,"Y7 Prime (2019), 32GB + 3GB, (Dual SIM), Black","15,999",https://www.jumia.co.ke/y7-prime-2019-6.26-8mp16mp-32gb-rom-3gb-ram-dual-black-huawei-mpg133982.html
Huawei ,"Y7 Prime (2019), 6.26"", 3GB + 32GB (Dual SIM), Blue","15,899",https://www.jumia.co.ke/huawei-y7-prime-2019-6.26-332gb-1316mp-dual-huawei-mpg134400.html
X-TIGI ,S23- 10000mAh Powerbank Phone - Black & Green plus USB Light,"1,798",https://www.jumia.co.ke/s23-10000-mah-powerbank-phone-black-green-plus-usb-light-x-tigi-mpg122303.html
,,,
Ulefone ,S7 - 8GB - 1GB RAM (8MP+5 MP) Camera - Dual Sim - 3G - Gold,"4,799",https://www.jumia.co.ke/s7-8gb-1gb-ram-8mp5-mp-camera-dual-sim-3g-gold-ulefone-mpg135375.html
